Web Search interest: mere
Denmark Jan 2011 - Feb 2016

Interest over time
Week,mere
2012-03-11 - 2012-03-17,53
2012-03-18 - 2012-03-24,55
2012-03-25 - 2012-03-31,51
2012-04-01 - 2012-04-07,41
2012-04-08 - 2012-04-14,47
2012-04-15 - 2012-04-21,48
2012-04-22 - 2012-04-28,48
2012-04-29 - 2012-05-05,49
2012-05-06 - 2012-05-12,50
2012-05-13 - 2012-05-19,51
2012-05-20 - 2012-05-26,50
2012-05-27 - 2012-06-02,54
2012-06-03 - 2012-06-09,57
2012-06-10 - 2012-06-16,49
2012-06-17 - 2012-06-23,51
2012-06-24 - 2012-06-30,49
2012-07-01 - 2012-07-07,45
2012-07-08 - 2012-07-14,44
2012-07-15 - 2012-07-21,46
2012-07-22 - 2012-07-28,47
2012-07-29 - 2012-08-04,48
2012-08-05 - 2012-08-11,51
2012-08-12 - 2012-08-18,46
2012-08-19 - 2012-08-25,58
2012-08-26 - 2012-09-01,55
2012-09-02 - 2012-09-08,60
2012-09-09 - 2012-09-15,56
2012-09-16 - 2012-09-22,63
2012-09-23 - 2012-09-29,63
2012-09-30 - 2012-10-06,63
2012-10-07 - 2012-10-13,67
2012-10-14 - 2012-10-20,54
2012-10-21 - 2012-10-27,62
2012-10-28 - 2012-11-03,65
2012-11-04 - 2012-11-10,66
2012-11-11 - 2012-11-17,65
2012-11-18 - 2012-11-24,71
2012-11-25 - 2012-12-01,67
2012-12-02 - 2012-12-08,63
2012-12-09 - 2012-12-15,68
2012-12-16 - 2012-12-22,63
2012-12-23 - 2012-12-29,60
2012-12-30 - 2013-01-05,59
2013-01-06 - 2013-01-12,65
2013-01-13 - 2013-01-19,58
2013-01-20 - 2013-01-26,62
2013-01-27 - 2013-02-02,64
2013-02-03 - 2013-02-09,73
2013-02-10 - 2013-02-16,60
2013-02-17 - 2013-02-23,57
2013-02-24 - 2013-03-02,59
2013-03-03 - 2013-03-09,63
2013-03-10 - 2013-03-16,59
2013-03-17 - 2013-03-23,72
2013-03-24 - 2013-03-30,60
2013-03-31 - 2013-04-06,56
2013-04-07 - 2013-04-13,63
2013-04-14 - 2013-04-20,51
2013-04-21 - 2013-04-27,51
2013-04-28 - 2013-05-04,55
2013-05-05 - 2013-05-11,54
2013-05-12 - 2013-05-18,62
2013-05-19 - 2013-05-25,57
2013-05-26 - 2013-06-01,58
2013-06-02 - 2013-06-08,54
2013-06-09 - 2013-06-15,52
2013-06-16 - 2013-06-22,53
2013-06-23 - 2013-06-29,85
2013-06-30 - 2013-07-06,100
2013-07-07 - 2013-07-13,68
2013-07-14 - 2013-07-20,59
2013-07-21 - 2013-07-27,61
2013-07-28 - 2013-08-03,58
2013-08-04 - 2013-08-10,56
2013-08-11 - 2013-08-17,55
2013-08-18 - 2013-08-24,54
2013-08-25 - 2013-08-31,56
2013-09-01 - 2013-09-07,53
2013-09-08 - 2013-09-14,55
2013-09-15 - 2013-09-21,60
2013-09-22 - 2013-09-28,63
2013-09-29 - 2013-10-05,62
2013-10-06 - 2013-10-12,67
2013-10-13 - 2013-10-19,56
2013-10-20 - 2013-10-26,59
2013-10-27 - 2013-11-02,57
2013-11-03 - 2013-11-09,59
2013-11-10 - 2013-11-16,66
2013-11-17 - 2013-11-23,61
2013-11-24 - 2013-11-30,60
2013-12-01 - 2013-12-07,56
2013-12-08 - 2013-12-14,63
2013-12-15 - 2013-12-21,66
2013-12-22 - 2013-12-28,55
2013-12-29 - 2014-01-04,56
2014-01-05 - 2014-01-11,62
2014-01-12 - 2014-01-18,71
2014-01-19 - 2014-01-25,67
2014-01-26 - 2014-02-01,61
2014-02-02 - 2014-02-08,63
2014-02-09 - 2014-02-15,56
2014-02-16 - 2014-02-22,60
2014-02-23 - 2014-03-01,62
2014-03-02 - 2014-03-08,59
2014-03-09 - 2014-03-15,59
2014-03-16 - 2014-03-22,56
2014-03-23 - 2014-03-29,63
2014-03-30 - 2014-04-05,61
2014-04-06 - 2014-04-12,59
2014-04-13 - 2014-04-19,56
2014-04-20 - 2014-04-26,56
2014-04-27 - 2014-05-03,60
2014-05-04 - 2014-05-10,65
2014-05-11 - 2014-05-17,61
2014-05-18 - 2014-05-24,70
2014-05-25 - 2014-05-31,62
2014-06-01 - 2014-06-07,58
2014-06-08 - 2014-06-14,58
2014-06-15 - 2014-06-21,56
2014-06-22 - 2014-06-28,53
2014-06-29 - 2014-07-05,51
2014-07-06 - 2014-07-12,48
2014-07-13 - 2014-07-19,43
2014-07-20 - 2014-07-26,55
2014-07-27 - 2014-08-02,48
2014-08-03 - 2014-08-09,54
2014-08-10 - 2014-08-16,54
2014-08-17 - 2014-08-23,56
2014-08-24 - 2014-08-30,57
2014-08-31 - 2014-09-06,54
2014-09-07 - 2014-09-13,59
2014-09-14 - 2014-09-20,60
2014-09-21 - 2014-09-27,61
2014-09-28 - 2014-10-04,62
2014-10-05 - 2014-10-11,63
2014-10-12 - 2014-10-18,61
2014-10-19 - 2014-10-25,61
2014-10-26 - 2014-11-01,60
2014-11-02 - 2014-11-08,68
2014-11-09 - 2014-11-15,62
2014-11-16 - 2014-11-22,66
2014-11-23 - 2014-11-29,63
2014-11-30 - 2014-12-06,59
2014-12-07 - 2014-12-13,63
2014-12-14 - 2014-12-20,65
2014-12-21 - 2014-12-27,59
2014-12-28 - 2015-01-03,54
2015-01-04 - 2015-01-10,61
2015-01-11 - 2015-01-17,63
2015-01-18 - 2015-01-24,63
2015-01-25 - 2015-01-31,56
2015-02-01 - 2015-02-07,56
2015-02-08 - 2015-02-14,58
2015-02-15 - 2015-02-21,57
2015-02-22 - 2015-02-28,65
2015-03-01 - 2015-03-07,63
2015-03-08 - 2015-03-14,59
2015-03-15 - 2015-03-21,64
2015-03-22 - 2015-03-28,60
2015-03-29 - 2015-04-04,53
2015-04-05 - 2015-04-11,57
2015-04-12 - 2015-04-18,59
2015-04-19 - 2015-04-25,60
2015-04-26 - 2015-05-02,60
2015-05-03 - 2015-05-09,56
2015-05-10 - 2015-05-16,55
2015-05-17 - 2015-05-23,64
2015-05-24 - 2015-05-30,65
2015-05-31 - 2015-06-06,56
2015-06-07 - 2015-06-13,64
2015-06-14 - 2015-06-20,60
2015-06-21 - 2015-06-27,54
2015-06-28 - 2015-07-04,51
2015-07-05 - 2015-07-11,48
2015-07-12 - 2015-07-18,53
2015-07-19 - 2015-07-25,49
2015-07-26 - 2015-08-01,51
2015-08-02 - 2015-08-08,49
2015-08-09 - 2015-08-15,54
2015-08-16 - 2015-08-22,62
2015-08-23 - 2015-08-29,60
2015-08-30 - 2015-09-05,56
2015-09-06 - 2015-09-12,63
2015-09-13 - 2015-09-19,63
2015-09-20 - 2015-09-26,63
2015-09-27 - 2015-10-03,57
2015-10-04 - 2015-10-10,58
2015-10-11 - 2015-10-17,56
2015-10-18 - 2015-10-24,60
2015-10-25 - 2015-10-31,65
2015-11-01 - 2015-11-07,61
2015-11-08 - 2015-11-14,63
2015-11-15 - 2015-11-21,65
2015-11-22 - 2015-11-28,60
2015-11-29 - 2015-12-05,60
2015-12-06 - 2015-12-12,61
2015-12-13 - 2015-12-19,62
2015-12-20 - 2015-12-26,63
2015-12-27 - 2016-01-02,60
2016-01-03 - 2016-01-09,67
2016-01-10 - 2016-01-16,74
2016-01-17 - 2016-01-23,66
2016-01-24 - 2016-01-30,64
2016-01-31 - 2016-02-06,64
2016-02-07 - 2016-02-13,65
2016-02-14 - 2016-02-20,51
2016-02-21 - 2016-02-27,64
2016-02-28 - 2016-03-05,64


Top subregions for mere
Subregion,mere
Region Zealand,100
Syddanmark,97
North Denmark Region,96
Capital Region of Denmark,92
Central Denmark Region,91


Top cities for mere
City,mere
Ansager,100
Varde,86
Kalundborg,43
Thisted,39
Greve Strand,37
Hjorring,35
Skanderborg,35
Rodovre,34
Taastrup,34
Frederikshavn,34
Odder,34
Nykobing Falster,33
Slagelse Municipality,33
Aabenraa,33
Esbjerg,32



Top searches for mere
mere end,100
med mere,85
mad med mere,30
lidt mere,15
ikke mere tid,15
aldrig mere,10
mere energi,10
gider ikke mere,5
shaka loveless,5
mere mobil,5
læs mere,5
mere spansk,5
la mere,5
forkortelse med mere,5
elsker hende mere,5
mere kaffe,5
vin med mere,0
musik med mere,0
mor med mere,0
få mere energi,0
mere selvtillid,0
mere end kærlighed,0
mere popcorn,0
mere feminin strik,0



Rising searches for mere
ikke mere tid,Breakout
mere spansk,Breakout
shaka loveless,Breakout
mere mobil,+170%
gider ikke mere,+60%
forkortelse med mere,+40%



