Week,type
2015-09-20 - 2015-09-26,84
2015-09-27 - 2015-10-03,81
2015-10-04 - 2015-10-10,85
2015-10-11 - 2015-10-17,85
2015-10-18 - 2015-10-24,83
2015-10-25 - 2015-10-31,80
2015-11-01 - 2015-11-07,87
2015-11-08 - 2015-11-14,83
2015-11-15 - 2015-11-21,83
2015-11-22 - 2015-11-28,81
2015-11-29 - 2015-12-05,84
2015-12-06 - 2015-12-12,93
2015-12-13 - 2015-12-19,100
2015-12-20 - 2015-12-26,65
2015-12-27 - 2016-01-02,61
2016-01-03 - 2016-01-09,86
2016-01-10 - 2016-01-16,82
2016-01-17 - 2016-01-23,91
2016-01-24 - 2016-01-30,80
2016-01-31 - 2016-02-06,81
2016-02-07 - 2016-02-13,82
2016-02-14 - 2016-02-20,83
2016-02-21 - 2016-02-27,80
2016-02-28 - 2016-03-05,79
