Web Search interest: typer
Denmark Jan 2011 - Feb 2016

Interest over time
Week,typer
2014-01-26 - 2014-02-01,69
2014-02-02 - 2014-02-08,73
2014-02-09 - 2014-02-15,65
2014-02-16 - 2014-02-22,77
2014-02-23 - 2014-03-01,76
2014-03-02 - 2014-03-08,74
2014-03-09 - 2014-03-15,72
2014-03-16 - 2014-03-22,77
2014-03-23 - 2014-03-29,71
2014-03-30 - 2014-04-05,76
2014-04-06 - 2014-04-12,65
2014-04-13 - 2014-04-19,50
2014-04-20 - 2014-04-26,70
2014-04-27 - 2014-05-03,76
2014-05-04 - 2014-05-10,76
2014-05-11 - 2014-05-17,76
2014-05-18 - 2014-05-24,68
2014-05-25 - 2014-05-31,56
2014-06-01 - 2014-06-07,78
2014-06-08 - 2014-06-14,80
2014-06-15 - 2014-06-21,83
2014-06-22 - 2014-06-28,70
2014-06-29 - 2014-07-05,46
2014-07-06 - 2014-07-12,50
2014-07-13 - 2014-07-19,52
2014-07-20 - 2014-07-26,47
2014-07-27 - 2014-08-02,63
2014-08-03 - 2014-08-09,50
2014-08-10 - 2014-08-16,56
2014-08-17 - 2014-08-23,75
2014-08-24 - 2014-08-30,72
2014-08-31 - 2014-09-06,76
2014-09-07 - 2014-09-13,80
2014-09-14 - 2014-09-20,90
2014-09-21 - 2014-09-27,79
2014-09-28 - 2014-10-04,74
2014-10-05 - 2014-10-11,74
2014-10-12 - 2014-10-18,65
2014-10-19 - 2014-10-25,91
2014-10-26 - 2014-11-01,87
2014-11-02 - 2014-11-08,90
2014-11-09 - 2014-11-15,79
2014-11-16 - 2014-11-22,94
2014-11-23 - 2014-11-29,76
2014-11-30 - 2014-12-06,79
2014-12-07 - 2014-12-13,92
2014-12-14 - 2014-12-20,69
2014-12-21 - 2014-12-27,54
2014-12-28 - 2015-01-03,62
2015-01-04 - 2015-01-10,96
2015-01-11 - 2015-01-17,79
2015-01-18 - 2015-01-24,89
2015-01-25 - 2015-01-31,77
2015-02-01 - 2015-02-07,84
2015-02-08 - 2015-02-14,64
2015-02-15 - 2015-02-21,80
2015-02-22 - 2015-02-28,87
2015-03-01 - 2015-03-07,95
2015-03-08 - 2015-03-14,100
2015-03-15 - 2015-03-21,87
2015-03-22 - 2015-03-28,88
2015-03-29 - 2015-04-04,53
2015-04-05 - 2015-04-11,87
2015-04-12 - 2015-04-18,89
2015-04-19 - 2015-04-25,86
2015-04-26 - 2015-05-02,76
2015-05-03 - 2015-05-09,90
2015-05-10 - 2015-05-16,84
2015-05-17 - 2015-05-23,86
2015-05-24 - 2015-05-30,82
2015-05-31 - 2015-06-06,87
2015-06-07 - 2015-06-13,96
2015-06-14 - 2015-06-20,83
2015-06-21 - 2015-06-27,63
2015-06-28 - 2015-07-04,46
2015-07-05 - 2015-07-11,56
2015-07-12 - 2015-07-18,48
2015-07-19 - 2015-07-25,55
2015-07-26 - 2015-08-01,55
2015-08-02 - 2015-08-08,53
2015-08-09 - 2015-08-15,72
2015-08-16 - 2015-08-22,65
2015-08-23 - 2015-08-29,79
2015-08-30 - 2015-09-05,82
2015-09-06 - 2015-09-12,86
2015-09-13 - 2015-09-19,91
2015-09-20 - 2015-09-26,99
2015-09-27 - 2015-10-03,83
2015-10-04 - 2015-10-10,93
2015-10-11 - 2015-10-17,67
2015-10-18 - 2015-10-24,90
2015-10-25 - 2015-10-31,97
2015-11-01 - 2015-11-07,93
2015-11-08 - 2015-11-14,98
2015-11-15 - 2015-11-21,91
2015-11-22 - 2015-11-28,85
2015-11-29 - 2015-12-05,77
2015-12-06 - 2015-12-12,93
2015-12-13 - 2015-12-19,84
2015-12-20 - 2015-12-26,52
2015-12-27 - 2016-01-02,57
2016-01-03 - 2016-01-09,93
2016-01-10 - 2016-01-16,88
2016-01-17 - 2016-01-23,99
2016-01-24 - 2016-01-30,90
2016-01-31 - 2016-02-06,96
2016-02-07 - 2016-02-13,90
2016-02-14 - 2016-02-20,70
2016-02-21 - 2016-02-27,84
2016-02-28 - 2016-03-05,0


Top subregions for typer
Subregion,typer
Region Zealand,100
North Denmark Region,98
Syddanmark,97
Central Denmark Region,92
Capital Region of Denmark,87


Top cities for typer
City,typer
Odder,100
Hjorring,85
Slagelse Municipality,82
Naestved,78
Ballerup,71
Haderslev,71
Skive,71
Holstebro,70
Lyngby,69
Roskilde County,67
Søborg,67
Hillerod,66
Fredericia,64
Sonderborg,63
Esbjerg,63



Top searches for typer
auto typer,100
hacker typer,95
facebook typer,60



Rising searches for typer
hacker typer,Breakout
facebook typer,+40%



