Week,kvinder
2013-10-27 - 2013-11-02,45
2013-11-03 - 2013-11-09,39
2013-11-10 - 2013-11-16,38
2013-11-17 - 2013-11-23,39
2013-11-24 - 2013-11-30,41
2013-12-01 - 2013-12-07,47
2013-12-08 - 2013-12-14,60
2013-12-15 - 2013-12-21,61
2013-12-22 - 2013-12-28,43
2013-12-29 - 2014-01-04,40
2014-01-05 - 2014-01-11,41
2014-01-12 - 2014-01-18,40
2014-01-19 - 2014-01-25,41
2014-01-26 - 2014-02-01,37
2014-02-02 - 2014-02-08,38
2014-02-09 - 2014-02-15,44
2014-02-16 - 2014-02-22,43
2014-02-23 - 2014-03-01,38
2014-03-02 - 2014-03-08,41
2014-03-09 - 2014-03-15,37
2014-03-16 - 2014-03-22,37
2014-03-23 - 2014-03-29,39
2014-03-30 - 2014-04-05,39
2014-04-06 - 2014-04-12,39
2014-04-13 - 2014-04-19,37
2014-04-20 - 2014-04-26,38
2014-04-27 - 2014-05-03,39
2014-05-04 - 2014-05-10,38
2014-05-11 - 2014-05-17,40
2014-05-18 - 2014-05-24,39
2014-05-25 - 2014-05-31,38
2014-06-01 - 2014-06-07,39
2014-06-08 - 2014-06-14,38
2014-06-15 - 2014-06-21,37
2014-06-22 - 2014-06-28,37
2014-06-29 - 2014-07-05,35
2014-07-06 - 2014-07-12,36
2014-07-13 - 2014-07-19,39
2014-07-20 - 2014-07-26,40
2014-07-27 - 2014-08-02,37
2014-08-03 - 2014-08-09,35
2014-08-10 - 2014-08-16,37
2014-08-17 - 2014-08-23,40
2014-08-24 - 2014-08-30,37
2014-08-31 - 2014-09-06,37
2014-09-07 - 2014-09-13,40
2014-09-14 - 2014-09-20,38
2014-09-21 - 2014-09-27,42
2014-09-28 - 2014-10-04,38
2014-10-05 - 2014-10-11,38
2014-10-12 - 2014-10-18,39
2014-10-19 - 2014-10-25,39
2014-10-26 - 2014-11-01,39
2014-11-02 - 2014-11-08,41
2014-11-09 - 2014-11-15,41
2014-11-16 - 2014-11-22,45
2014-11-23 - 2014-11-29,44
2014-11-30 - 2014-12-06,50
2014-12-07 - 2014-12-13,74
2014-12-14 - 2014-12-20,70
2014-12-21 - 2014-12-27,40
2014-12-28 - 2015-01-03,44
2015-01-04 - 2015-01-10,38
2015-01-11 - 2015-01-17,39
2015-01-18 - 2015-01-24,40
2015-01-25 - 2015-01-31,37
2015-02-01 - 2015-02-07,35
2015-02-08 - 2015-02-14,36
2015-02-15 - 2015-02-21,38
2015-02-22 - 2015-02-28,37
2015-03-01 - 2015-03-07,37
2015-03-08 - 2015-03-14,40
2015-03-15 - 2015-03-21,39
2015-03-22 - 2015-03-28,37
2015-03-29 - 2015-04-04,36
2015-04-05 - 2015-04-11,36
2015-04-12 - 2015-04-18,39
2015-04-19 - 2015-04-25,39
2015-04-26 - 2015-05-02,37
2015-05-03 - 2015-05-09,36
2015-05-10 - 2015-05-16,38
2015-05-17 - 2015-05-23,36
2015-05-24 - 2015-05-30,38
2015-05-31 - 2015-06-06,41
2015-06-07 - 2015-06-13,39
2015-06-14 - 2015-06-20,37
2015-06-21 - 2015-06-27,35
2015-06-28 - 2015-07-04,33
2015-07-05 - 2015-07-11,35
2015-07-12 - 2015-07-18,34
2015-07-19 - 2015-07-25,36
2015-07-26 - 2015-08-01,37
2015-08-02 - 2015-08-08,34
2015-08-09 - 2015-08-15,32
2015-08-16 - 2015-08-22,35
2015-08-23 - 2015-08-29,36
2015-08-30 - 2015-09-05,37
2015-09-06 - 2015-09-12,36
2015-09-13 - 2015-09-19,38
2015-09-20 - 2015-09-26,39
2015-09-27 - 2015-10-03,38
2015-10-04 - 2015-10-10,42
2015-10-11 - 2015-10-17,41
2015-10-18 - 2015-10-24,38
2015-10-25 - 2015-10-31,41
2015-11-01 - 2015-11-07,40
2015-11-08 - 2015-11-14,42
2015-11-15 - 2015-11-21,43
2015-11-22 - 2015-11-28,46
2015-11-29 - 2015-12-05,56
2015-12-06 - 2015-12-12,100
2015-12-13 - 2015-12-19,86
2015-12-20 - 2015-12-26,48
2015-12-27 - 2016-01-02,46
2016-01-03 - 2016-01-09,48
2016-01-10 - 2016-01-16,44
2016-01-17 - 2016-01-23,41
2016-01-24 - 2016-01-30,43
2016-01-31 - 2016-02-06,41
2016-02-07 - 2016-02-13,38
2016-02-14 - 2016-02-20,40
2016-02-21 - 2016-02-27,41
2016-02-28 - 2016-03-05,49
